name,parent,description
root,,
Holzblasinstrument,root,
Rohrblattinstrument,Holzblasinstrument,
Doppelrohrblattinstrument,Rohrblattinstrument,
oboenartiges Instrument,Doppelrohrblattinstrument,
Englischhorn,oboenartiges Instrument,
Oboe,oboenartiges Instrument,
Andere,oboenartiges Instrument,
fagottartiges Instrument,Doppelrohrblattinstrument,
Fagott,fagottartiges Instrument,
Kontrafagott,fagottartiges Instrument,
anderes Doppelrohrblattinstrument,Doppelrohrblattinstrument,
Einfachrohrblattinstrument,Rohrblattinstrument,
klarinettenartiges Instrument,Einfachrohrblattinstrument,
kleine Klarinette,klarinettenartiges Instrument,"Klarinette in D, Es, F oder As."
gewöhnliche Klarinette,klarinettenartiges Instrument,"Klarinette in A, B, H oder C."
Altklarinette,klarinettenartiges Instrument,
Bassklarinette / Kontrabasskl.,klarinettenartiges Instrument,
anderes klarinettenartiges Instrument,klarinettenartiges Instrument,
Saxophon,Einfachrohrblattinstrument,
Baritonsaxophon,Saxophon,
Tenorsaxophon,Saxophon,
Altsaxophon,Saxophon,
Sopransaxophon,Saxophon,
anderes Einfachrohrblattinstrument,Einfachrohrblattinstrument,
anderes Rohrblattinstrument,Rohrblattinstrument,
Luftblasinstrumente / Flöten,Holzblasinstrument,
Querflöte,Luftblasinstrumente / Flöten,
Blockflöte,Luftblasinstrumente / Flöten,
Piccolo-Flöte,Luftblasinstrumente / Flöten,
(2) Andere,Luftblasinstrumente / Flöten,
Schlaginstrument,root,
Idiophon,Schlaginstrument,
Metall-Idiophon,Idiophon,
Glocke,Metall-Idiophon,
unbestimmte Glocke,Glocke,
andere Glocke,Glocke,
Röhrenglocke,Glocke,
anderes Metall-Idiophon,Metall-Idiophon,
Becken,Metall-Idiophon,
Schellen,Metall-Idiophon,
Triangel,Metall-Idiophon,
Tamtam,Metall-Idiophon,
"Zimbeln (auch cimbales antiques, Krotali)",Metall-Idiophon,
Gong,Metall-Idiophon,
Donnerblech,Metall-Idiophon,
Holz-Idiophon,Idiophon,
anderes Holz-Idiophon,Holz-Idiophon,
Ratsche,Holz-Idiophon,
Orchesterpeitsche,Holz-Idiophon,
Holzblock,Holz-Idiophon,
Kastagnetten,Holz-Idiophon,
Windmaschine,Holz-Idiophon,
anderes Idiophon,Idiophon,
Membranophon,Schlaginstrument,
kleine Trommel,Membranophon,
kleine Trommel mit Schnarrsaite,kleine Trommel,
kleine Trommel ohne Schnarrsaite (auch Rührtrommel),kleine Trommel,
anderes Membranophon,Membranophon,
Pauke,Membranophon,
Schellentrommel / Tambourin,Membranophon,
große Trommel,Membranophon,
Stabspiel,Schlaginstrument,
anderes Stabspiel,Stabspiel,
Glockenspiel,Stabspiel,
Marimbaphon,Stabspiel,
Xylophon,Stabspiel,
Vibraphon,Stabspiel,
Blechblasinstrument,root,
sonstiges Blechblasinstrument,Blechblasinstrument,
anderes Blechblasinstrument,sonstiges Blechblasinstrument,
Wagnertuba,sonstiges Blechblasinstrument,
Euphonium,sonstiges Blechblasinstrument,
Ophikleide,sonstiges Blechblasinstrument,
Posaune,Blechblasinstrument,
Tenorposaune,Posaune,
Bassposaune,Posaune,
Andere Posaune,Posaune,
Horn,Blechblasinstrument,
Trompete,Blechblasinstrument,
Tuba,Blechblasinstrument,
Tasteninstrument,root,
chordophones Tasteninstrument,Tasteninstrument,
anderes chordophones Tasteninstrument,chordophones Tasteninstrument,
Klavier,chordophones Tasteninstrument,
Cembalo,chordophones Tasteninstrument,
aerophones Tasteninstrument,Tasteninstrument,
anderes aerophones Tasteninstrument,aerophones Tasteninstrument,
Orgel,aerophones Tasteninstrument,
Harmonium,aerophones Tasteninstrument,
idiophones Tasteninstrument,Tasteninstrument,
anderes idiophones Tasteninstrument,idiophones Tasteninstrument,
Celesta,idiophones Tasteninstrument,
Zupfinstrument,root,
anderes Zupfinstrument,Zupfinstrument,
Harfe,Zupfinstrument,
Streichinstrument,root,
anderes Streichinstrument,Streichinstrument,
Violine,Streichinstrument,
Viola,Streichinstrument,
Violoncello,Streichinstrument,
Kontrabass,Streichinstrument,
Sonstige Instrumente,root,
