name,parent,description
root,,
plötzliche dynamische Veränderung / Akzentuierung,root,
lauter,plötzliche dynamische Veränderung / Akzentuierung,
subito forte,lauter,
leiser,plötzliche dynamische Veränderung / Akzentuierung,
subito piano,leiser,
fortepiano (fp),leiser,
Sonstige dyn. Veränderungen,plötzliche dynamische Veränderung / Akzentuierung,
sforzato / sforzando (sf / sfz) / forzando / forzato (fz),Sonstige dyn. Veränderungen,
rinforzato (rf / rfz),Sonstige dyn. Veränderungen,
Akzent (> oder ^),Sonstige dyn. Veränderungen,
ondeggiato,Sonstige dyn. Veränderungen,An- und Abschwellen
gleitende dynamische Veränderung,root,
crescendo,gleitende dynamische Veränderung,
decrescendo/diminuendo,gleitende dynamische Veränderung,
crescendo-->decrescendo,gleitende dynamische Veränderung,
decrescendo-->crescendo,gleitende dynamische Veränderung,
morendo,gleitende dynamische Veränderung,
al niente,gleitende dynamische Veränderung,"Oftmals auch als Decrescendozeichen dargestellt, an dessen Ende ein n oder o steht."
dal niente,gleitende dynamische Veränderung,"Oftmals auch als Crescendozeichen dargestellt, an dessen Anfang ein n oder o steht."
keine Lautstärkeentwicklung,root,
nicht anwendbar,root,
unmittelbar zuvor Generalpause,root,
unmittelbar danach Generalpause,root,
