name,parent
root,
plötzliche dynamische Veränderung / Akzentuierung,root
ondeggiato,plötzliche dynamische Veränderung / Akzentuierung
subito piano,plötzliche dynamische Veränderung / Akzentuierung
subito forte,plötzliche dynamische Veränderung / Akzentuierung
fortepiano,plötzliche dynamische Veränderung / Akzentuierung
rinforzato,plötzliche dynamische Veränderung / Akzentuierung
Akzent,plötzliche dynamische Veränderung / Akzentuierung
"sforzato, sforzando / forzando, forzato",plötzliche dynamische Veränderung / Akzentuierung
gleitende dynamische Veränderung,root
dal niente,gleitende dynamische Veränderung
al niente,gleitende dynamische Veränderung
decrescendo-->crescendo,gleitende dynamische Veränderung
crescendo-->decrescendo,gleitende dynamische Veränderung
morendo,gleitende dynamische Veränderung
decrescendo,gleitende dynamische Veränderung
crescendo,gleitende dynamische Veränderung
gleichbleibend,gleitende dynamische Veränderung
