name,parent,description
root,,
"""Walking Bass""",root,
absteigender Walking Bass,"""Walking Bass""",
diatonisch absteigender Walking Bass,absteigender Walking Bass,
chromatisch absteigender Walking Bass,absteigender Walking Bass,
andere Form,absteigender Walking Bass,
aufsteigender Walking Bass,"""Walking Bass""",
diatonisch aufsteigender Walking Bass,aufsteigender Walking Bass,
chromatisch aufsteigender Walking Bass,aufsteigender Walking Bass,
(2) andere Form,aufsteigender Walking Bass,
"""Tonleiter mit eingeschobenen Nebentönen""",root,
aufsteigende Tonleiter mit eingeschobenen oberen Nebentönen,"""Tonleiter mit eingeschobenen Nebentönen""",
... mit eingeschobenen kleinen Sekunden als oberen Nebentönen,aufsteigende Tonleiter mit eingeschobenen oberen Nebentönen,
... mit eingeschobenen leitereigenen oberen Nebentönen,aufsteigende Tonleiter mit eingeschobenen oberen Nebentönen,
absteigende Tonleiter mit eingeschobenen unteren Nebentönen,"""Tonleiter mit eingeschobenen Nebentönen""",
... mit eingeschobenen kleinen Sekunden als unteren Nebentönen,absteigende Tonleiter mit eingeschobenen unteren Nebentönen,
... mit eingeschobenen leitereigenen unteren Nebentönen,absteigende Tonleiter mit eingeschobenen unteren Nebentönen,
markante Drei- oder Vierklangsbrechung,root,
einfache Akkordbrechungen,markante Drei- oder Vierklangsbrechung,
aufwärts,einfache Akkordbrechungen,
abwärts,einfache Akkordbrechungen,
auf- und abwärts,einfache Akkordbrechungen,
angereichert um Sekunde(n),markante Drei- oder Vierklangsbrechung,
(2) aufwärts,angereichert um Sekunde(n),
(2) abwärts,angereichert um Sekunde(n),
(2) auf- und abwärts,angereichert um Sekunde(n),
angereichert um andere(s) Intervall(e),markante Drei- oder Vierklangsbrechung,
(3) aufwärts,angereichert um andere(s) Intervall(e),
(3) abwärts,angereichert um andere(s) Intervall(e),
(3) auf- und abwärts,angereichert um andere(s) Intervall(e),
Spielfiguren,root,
rasche Tonwiederholung (auch „Bombus“),Spielfiguren,Zum Beispiel: 𝅘𝅥𝅫
Umkreisen eines Tons in Sekunden (auch „Circulatio“),Spielfiguren,
"Umspielen eines Tons mit dessen Ober-, dann Untersekunde (auch „Doppelschlag“)",Spielfiguren,
ansteigende Sekunde am Phrasenende (auch „Interrogatio“),Spielfiguren,
absteigende Sekunde am Phrasenende (auch „Seufzer“),Spielfiguren,
Kette von absteigenden Sekunden,Spielfiguren,
schneller Wechsel zweier Töne im punktierten Rhythmus (auch „Ribattuta“),Spielfiguren,
"""Tonleiter-Lauf mit jeweils zwei Schritten vor und einem zurück""",root,
(4) aufwärts,"""Tonleiter-Lauf mit jeweils zwei Schritten vor und einem zurück""",
(4) abwärts,"""Tonleiter-Lauf mit jeweils zwei Schritten vor und einem zurück""",
(4) auf- und abwärts,"""Tonleiter-Lauf mit jeweils zwei Schritten vor und einem zurück""",
Läufe,root,
(5) aufwärts,Läufe,
(5) abwärts,Läufe,
(5) auf- und abwärts,Läufe,
