name,parent,description
root,
andere Satzart,root
unbestimmte Satzart,root
Melodie und Begleitung,root
homophone Satzart,root
Einstimmiges Spiel,homophone Satzart
Sonstige Hauptstimme(n) und Begleitung,homophone Satzart
Nur Begleitung (bzw. Begleitfigur),homophone Satzart
Akkordsatz,homophone Satzart
Choralsatz / Kantionalsatz,Akkordsatz
anderer Akkordsatz,Akkordsatz,"Homophoner Satz, bei dem der Melodierhythmus gleich dem Akkordrhythmus ist (Blockakkorde)."
polyphone Satzart,root
Durchbrochene Arbeit,polyphone Satzart,"Motivische Elemente werden in mehreren Instrumenten/Instrumentengruppen im Wechsel aufgegriffen. "
Kontrapunkt,polyphone Satzart
fugierte Satzart,Kontrapunkt
