name,parent,description
root,,
Anweisung für Tasteninstrumente,root,
Anweisung speziell für Klavier / Flügel,Anweisung für Tasteninstrumente,
Pedal-Anweisung,Anweisung speziell für Klavier / Flügel,
Pianopedal / una corda / nur 1 Saite (li.),Pedal-Anweisung,
Fortepedal / senza sordino / Dämpferaufhebung (re.),Pedal-Anweisung,
Moderatorenpedal / Dämpfung (mi.),Pedal-Anweisung,
Tonhaltepedal / Sostenuto-Pedal (mi.),Pedal-Anweisung,
andere Anweisung für Klavier / Flügel,Anweisung speziell für Klavier / Flügel,
Anweisung für alle Tasteninstrumente,Anweisung für Tasteninstrumente,
andere Anweisung für alle Tasteninstrumente,Anweisung für alle Tasteninstrumente,
Arpeggio,Anweisung für alle Tasteninstrumente,
Tremolo,Anweisung für alle Tasteninstrumente,
mano destra  / r. Hand,Anweisung für alle Tasteninstrumente,
mano sinistra / l. Hand),Anweisung für alle Tasteninstrumente,
Anweisung speziell für Orgel,Anweisung für Tasteninstrumente,
andere Anweisung für Orgel,Anweisung speziell für Orgel,
Manualiter (auf dem Manual),Anweisung speziell für Orgel,
Anweisung für Bläser,root,
mit Dämpfer,Anweisung für Bläser,
mit unspezifiziertem Dämpfer,mit Dämpfer,
mit anderem Dämpfer,mit Dämpfer,
mit Spitzdämpfer,mit Dämpfer,„mit Dämpfer“ bzw. „con sordino“ vor 1920
mit Waldhorn-Dämpfer,mit Dämpfer,
mit Stopf-Dämpfer (Horn),mit Dämpfer,
andere Anweisung für Bläser,Anweisung für Bläser,
gestopft,Anweisung für Bläser,
Anweisung für Schlaginstrumente,root,
Anweisung für Trommeln,Anweisung für Schlaginstrumente,
andere Anweisung für Trommeln,Anweisung für Trommeln,
Wirbel,Anweisung für Trommeln,"𝄖𝄥𝄖𝅝𝅬𝄖𝆖𝅝𝄖"
coperto / bedecktes Fell,Anweisung für Trommeln,
mit Rute geschlagen (Rod),Anweisung für Trommeln,
Anweisung für Stabspiele,Anweisung für Schlaginstrumente,
andere Anweisung für Stabspiele,Anweisung für Stabspiele,
Dämpfer,Anweisung für Stabspiele,
(2) Arpeggio,Anweisung für Stabspiele,
Andere Anweisungen für andere Schlaginstrumente,Anweisung für Schlaginstrumente,
Anweisung für Streicher,root,
Mehrfachgriff,Anweisung für Streicher,
Doppelgriff,Mehrfachgriff,"Gleichzeitiges Streichen von zwei Saiten. Dabei gilt zu prüfen, ob im Vorfeld nicht „divisi“ (div.) gefordert wurde."
Tripelgriff,Mehrfachgriff,"Gleichzeitiges Streichen von drei Saiten. Dabei gilt zu prüfen, ob im Vorfeld nicht „divisi“ (div.) gefordert wurde."
Quadrupelgriff,Mehrfachgriff,"Gleichzeitiges Streichen von vier Saiten. Dabei gilt zu prüfen, ob im Vorfeld nicht „divisi“ (div.) gefordert wurde."
andere Anweisung für Streicher,Anweisung für Streicher,
pizzicato / gezupft,Anweisung für Streicher,
con sordino / mit Dämpfer,Anweisung für Streicher,
col legno battuto / mit dem Holz geschlagen,Anweisung für Streicher,
col legno tratto / mit dem Holz gestrichen,Anweisung für Streicher,
arco (coll'arco) / mit dem Bogen,Anweisung für Streicher,
spiccato / springender Bogen,Anweisung für Streicher,
détaché / 1 Bogenstrich pro Note,Anweisung für Streicher,
martélé / besonders stark gespieltes détaché,Anweisung für Streicher,
sul ponticello / dicht am Steg,Anweisung für Streicher,
Flageolett,Anweisung für Streicher,
Flautando / sehr wenig Bogen,Anweisung für Streicher,
Bogentremolo / -vibrato (nicht ausnotiert),Anweisung für Streicher,
Glissando,Anweisung für Streicher,
(3) Arpeggio,Anweisung für Streicher,
Portamento,Anweisung für Streicher,
Bariolage,Anweisung für Streicher,Alternieren zwischen leerer und gegriffener Saite für denselben Ton.
Schlagbass / „Slap“,Anweisung für Streicher,
sine vibrato,Anweisung für Streicher,
Anweisung für Zupfinstrumente,root,
Anweisung für alle Zupfinstrumente,Anweisung für Zupfinstrumente,
andere Anweisung für alle Zupfinstrumente,Anweisung für alle Zupfinstrumente,
(2) Flageolett,Anweisung für alle Zupfinstrumente,
(4) Arpeggio,Anweisung für alle Zupfinstrumente,
Anweisung speziell für Harfe,Anweisung für Zupfinstrumente,
andere Anweisung speziell für Harfe,Anweisung speziell für Harfe,
près de la table / bas dans les cordes /  nah am Resonanzkörper gezupft,Anweisung speziell für Harfe,
Xylo / nah am Resonanzkörper abgedrückt,Anweisung speziell für Harfe,
Andere Spielanweisung,root,
