name,parent,description
root,,
Gerade Taktart,root,
Einfache Taktart,Gerade Taktart,
2/1,Einfache Taktart,
2/2,Einfache Taktart,
2/4,Einfache Taktart,
2/8,Einfache Taktart,
Zusammengesetzte Taktart,Gerade Taktart,
4/2,Zusammengesetzte Taktart,
4/4,Zusammengesetzte Taktart,
4/8,Zusammengesetzte Taktart,
4/16,Zusammengesetzte Taktart,
Ungerade Taktart,root,
(2) Einfache Taktart,Ungerade Taktart,
3/1,(2) Einfache Taktart,
3/2,(2) Einfache Taktart,
3/4,(2) Einfache Taktart,
3/8,(2) Einfache Taktart,
3/16,(2) Einfache Taktart,
(2) Zusammengesetzte Taktart,Ungerade Taktart,
6/4,(2) Zusammengesetzte Taktart,
6/8,(2) Zusammengesetzte Taktart,
6/16,(2) Zusammengesetzte Taktart,
9/4,(2) Zusammengesetzte Taktart,
9/8,(2) Zusammengesetzte Taktart,
9/16,(2) Zusammengesetzte Taktart,
9/32,(2) Zusammengesetzte Taktart,
12/8,(2) Zusammengesetzte Taktart,
12/16,(2) Zusammengesetzte Taktart,
12/32,(2) Zusammengesetzte Taktart,
Gemischte Takart,root,
5/4,Gemischte Takart,
5/8,Gemischte Takart,
5/16,Gemischte Takart,
7/4,Gemischte Takart,
7/8,Gemischte Takart,
7/16,Gemischte Takart,
Werkausschnitt enthält mehrere Taktarten,root,
sukzessive,Werkausschnitt enthält mehrere Taktarten,
simultan,Werkausschnitt enthält mehrere Taktarten,
abwechselnd,Werkausschnitt enthält mehrere Taktarten,
andere Taktart,root,
